Japanese,English
の,of
に,to
は,teeth
た,Ta
を,of
だ,is
が,but
て,hand
と,and
ます,Masu
も,too
で,in
ている、てる,"teru, teru"
です,is
れる,be able to
という、つう,That's what I mean.
事,case
えー、ええ,"Eh, yeah"
言う,say
のです、んです,"It's, it's, it's"
あの、あのう、あのー,"Um, um, uh"
する,do
まー、まあ,"Well, well"
の,of
ある,be
ね,hey
ない,do not have
なる,Become
か,mosquito
その,the
けれど,However
から,from
よう,Yo
思う,think
で,in
か,mosquito
が,but
物,thing
そう,yes
何,what
と,and
私【わたし】,me [me]
私【わたくし】,me [me]
私【あたし】,me [me]
てしまう,end up
それ,that
とか,Or something
この,this
無い,None
行く,go
のだ、んだ,"No, no"
せる,let
これ,this
もう,already
である,is
時,time
な,Na
ず,figure
ので、んで,"So, then"
人【ひと】,person
よ,Yo
こう,like this
から,from
ば,Ba
や,or
来る【くる】,come [kuru]
その,the
まで,to
見る,look
たり,Tari
今,now
良い、いい,"good, good"
所,place
自分,myself
ん,yeah
あー,ah
やはり、やっぱり,"After all, after all"
たい,sea ​​bream
やる,do
中【なか】,Inside [Naka]
いる,There is
できる,can
など,etc.
として,as
後【あと】,after [later]
また,Also
ちょっと,a little bit
てくる,Coming
だけ,only
くらい、ぐらい,"about, about"
ではない,isn't it
えーと,Well
方【ほう】,way [ho]
ていく、てく,"go, go"
訳【わけ】,translation [reason]
へ,fart
どう,copper
し,death
本当,TRUE
持つ,have
出る,come out
ため,Because